"State, Teritory or Tribal Nation",Total (Billions),Population,2020_Election_Winner
ALABAMA,3.0,5108468.0,Trump
ALASKA,3.7,733406.0,Trump
AMERICAN SAMOA,0.0686,44620.0,Territory
ARIZONA,3.5,7431344.0,Biden
ARKANSAS,2.8,3067732.0,Trump
CALIFORNIA,18.4,38965193.0,Biden
COLORADO,3.2,5877610.0,Biden
CONNECTICUT,2.5,3617176.0,Biden
DELAWARE,0.792,1031890.0,Biden
DISTRICT OF COLUMBIA,1.1,678972.0,Biden
FLORIDA,8.2,22610726.0,Trump
GEORGIA,5.0,11029227.0,Biden
GUAM,0.1426,169330.0,Territory
HAWAII,1.0,1435138.0,Biden
IDAHO,1.2,1964726.0,Trump
ILLINOIS,8.4,12549689.0,Biden
INDIANA,3.4,6862199.0,Trump
IOWA,2.4,3207004.0,Trump
KANSAS,1.5,2940546.0,Trump
KENTUCKY,3.9,4526154.0,Trump
LOUISIANA,4.3,4573749.0,Trump
MAINE,1.1,1395722.0,Biden
MARYLAND,2.7,6180253.0,Biden
MASSACHUSETTS,3.6,7001399.0,Biden
MICHIGAN,5.2,10037261.0,Biden
MINNESOTA,2.7,5752687.0,Biden
MISSISSIPPI,2.3,2939690.0,Trump
MISSOURI,3.8,6196156.0,Trump
MONTANA,3.3,1132812.0,Trump
NEBRASKA,1.3,1978379.0,Trump
NEVADA,1.7,3194176.0,Biden
NEW HAMPSHIRE,0.7518,1402054.0,Biden
NEW JERSEY,5.1,9548215.0,Biden
NEW MEXICO,2.6,2114371.0,Biden
NEW YORK,10.1,19571216.0,Biden
NORTH CAROLINA,4.5,10835491.0,Trump
NORTH DAKOTA,1.8,783926.0,Trump
NORTHERN MARIANA ISLANDS,0.0833,51295.0,Territory
OHIO,6.6,11785935.0,Trump
OKLAHOMA,2.9,4053824.0,Trump
OREGON,2.3,4233358.0,Biden
PENNSYLVANIA,8.1,12961683.0,Biden
PUERTO RICO,0.9937,3203794.0,Territory
RHODE ISLAND,1.1,1095962.0,Biden
SOUTH CAROLINA,2.3,5373555.0,Trump
SOUTH DAKOTA,1.3,919318.0,Trump
TENNESSEE,3.7,7126489.0,Trump
TEXAS,14.2,30503301.0,Trump
TRIBAL COMMUNITIES,3.0,,
US VIRGIN ISLANDS,0.1483,87000.0,Territory
UTAH,1.8,3417734.0,Trump
VERMONT,0.8521,647464.0,Biden
VIRGINIA,4.5,8715698.0,Biden
WASHINGTON,4.0,7812880.0,Biden
WEST VIRGINIA,2.0,1770071.0,Trump
WISCONSIN,2.8,5910955.0,Biden
WYOMING,2.3,584057.0,Trump
